CodeID,Rat,Phase,SpeciesID,Species,Sex,Precipitation,TempMax,TempMin,Season,Sunit,spPhase
14r2,R,advance decay,CHA,Chrysomya_albiceps,F,6.6,9.85,18.68,fall,advance decayR,advance decayCHA
14r3,R,advance decay,CHA,Chrysomya_albiceps,F,6.6,9.85,18.68,fall,advance decayR,advance decayCHA
15a2,A,advance decay,CL,Calliphora_lopesi,F,4.25,4.75,9.72,winter,advance decayA,advance decayCL
15b1,B,advance decay,CL,Calliphora_lopesi,F,4.25,4.75,9.72,winter,advance decayB,advance decayCL
15b2,B,advance decay,CL,Calliphora_lopesi,M,4.25,4.75,9.72,winter,advance decayB,advance decayCL
15b3,B,advance decay,CL,Calliphora_lopesi,M,4.25,4.75,9.72,winter,advance decayB,advance decayCL
15n1,N,active decay,CHA,Chrysomya_albiceps,F,5.32,13.26,19.8,fall,active decayN,active decayCHA
15p1,P,active decay,CHM,Chrysomya_megacephala,M,5.32,13.26,19.8,fall,active decayP,active decayCHM
15p2,P,active decay,CHA,Chrysomya_albiceps,F,5.32,13.26,19.8,fall,active decayP,active decayCHA
15r1,R,advance decay,CHA,Chrysomya_albiceps,F,5.32,13.26,19.8,fall,advance decayR,advance decayCHA
15r2,R,advance decay,CHA,Chrysomya_albiceps,F,5.32,13.26,19.8,fall,advance decayR,advance decayCHA
15r3,R,advance decay,CHA,Chrysomya_albiceps,M,5.32,13.26,19.8,fall,advance decayR,advance decayCHA
16a2,A,advance decay,CL,Calliphora_lopesi,F,3.333333333,5.583333333,12,winter,advance decayA,advance decayCL
16a3,A,advance decay,CL,Calliphora_lopesi,M,3.333333333,5.583333333,12,winter,advance decayA,advance decayCL
16b2,B,advance decay,CL,Calliphora_lopesi,M,3.333333333,5.583333333,12,winter,advance decayB,advance decayCL
16b4,B,advance decay,HSD,Hemilucilia_semidiaphana,F,3.333333333,5.583333333,12,winter,advance decayB,advance decayHSD
16g1,G,dry,CHA,Chrysomya_albiceps,F,7.95,16.3,24.64,spring,dryG,dryCHA
16h1,H,dry,CHA,Chrysomya_albiceps,F,7.95,16.3,24.64,spring,dryH,dryCHA
16h2,H,dry,CHA,Chrysomya_albiceps,M,7.95,16.3,24.64,spring,dryH,dryCHA
16r1,R,advance decay,LE,Lucilia_eximia,F,6.3,13.05,20.4,fall,advance decayR,advance decayLE
17a1,A,advance decay,CL,Calliphora_lopesi,F,6.3,13.05,20.4,winter,advance decayA,advance decayCL
17a3,A,advance decay,CL,Calliphora_lopesi,M,6.25,8.15,16.8,winter,advance decayA,advance decayCL
17a4,A,advance decay,HSG,Hemilucilia_segmentaria,M,6.25,8.15,16.8,winter,advance decayA,advance decayHSG
